,DPEQ.SG1AG01,DPEQ.SG1AG02,DPEQ.SG1AG03,DPEQ.SG1AG04,DPEQ.SG1AG05,DPEQ.SG1AG06,DPEQ.SG1AG07,DPEQ.SG1AG08,DPEQ.SG1AG09,DPEQ.SG1AG10,DPEQ.SG1AG11,DPEQ.SG1AG12,DPEQ.SG1AG13,DPEQ.SG1AG14,DPEQ.SG1AG15,DPEQ.SG1AG16,DPEQ.SG1AG17,DPEQ.SG1AG85,DPEQ.SG1BG01,DPEQ.SG1BG02,DPEQ.SG1BG03,DPEQ.SG1BG04,DPEQ.SG1BG05,DPEQ.SG1BG06,DPEQ.SG1BG07,DPEQ.SG1BG08,DPEQ.SG1BG09,DPEQ.SG1BG10,DPEQ.SG1BG11,DPEQ.SG1BG12,DPEQ.SG1BG13,DPEQ.SG1BG14,DPEQ.SG1BG15,DPEQ.SG1BG16,DPEQ.SG1BG17,DPEQ.SG1BG85,
Sep-2012,161600,151380,153390,159960,157160,134020,128430,133630,150880,151410,149370,130100,117580,94990,73160,49630,36010,25800,153320,144170,145790,153030,154810,140970,140360,147970,166940,163140,158910,137050,122150,99460,79100,57210,45710,47000,
Dec-2012,161520,152070,152710,159810,157650,134850,129070,132830,150780,151080,150070,130720,117850,96950,73520,50140,36060,26200,153040,144920,145180,152620,155160,141550,141060,146750,167020,162670,159820,137830,122670,101530,79410,57750,45910,47100,
Mar-2013,160980,152740,152560,160100,158640,135210,129530,132150,150610,150470,150790,131530,117810,98970,73680,50600,36070,26600,152380,145900,144800,152500,155720,141990,141510,145790,166890,162000,161050,138680,122900,103540,79760,57980,46000,47600,
Jun-2013,160150,153570,152180,160150,159180,135330,129510,131500,150170,150100,151680,132170,117900,100570,74040,51010,36100,26800,151770,146490,144580,152330,155740,142160,141580,144860,166410,161890,161990,139590,123110,105190,80000,58330,46030,47900,
Sep-2013,159510,154570,151830,160300,160760,137320,130840,131240,149970,150080,152250,133270,118310,101670,74850,51450,36060,27100,151150,147220,144340,152160,156580,143520,142240,144250,166270,161640,162820,140560,123680,106410,80640,58800,46160,48000,
Dec-2013,159040,155520,151690,159880,162250,139600,132360,131100,150210,150280,152820,134450,118720,103290,75490,52040,36160,27600,150860,147860,144470,151410,157300,145360,143180,143930,165910,162000,163300,141600,124280,108070,81290,59510,46100,48500,
Mar-2014,158410,156690,151970,160730,164700,141950,134000,131180,150380,150600,153560,135180,119200,104460,76270,52460,36300,28100,150710,148440,144910,151830,158500,147200,144180,143790,165650,162020,163940,142600,124880,109240,81890,60110,46110,48900,
Jun-2014,158140,157400,151950,161280,166300,143540,134770,131450,150420,150750,154040,136130,119520,105470,77050,52800,36330,28300,150240,149230,144750,152050,158700,148150,144640,143590,165230,162180,164320,143630,125500,110140,82640,60420,46110,49300,
Sep-2014,157720,158370,151950,162060,169010,146890,136240,132050,150180,151210,154630,137070,120090,106750,77510,53390,36430,28400,149520,150360,144460,152480,159790,150370,145890,143590,164720,162550,164810,144770,126090,111390,83040,61130,46040,49300,
Dec-2014,157550,159580,151620,161850,170850,149990,138080,132550,150150,151880,155280,138090,120760,108130,77840,54200,36650,28700,149260,151420,144170,152080,160150,153020,147390,143700,164270,162920,165560,145690,126900,112800,83560,62080,46030,49700,
